gwl,pH,TDS,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification
4.3,8.28,1181.44,280.0,260,2.94,82.54045455,197.0,249.0,2.0,56.0,58.344,379.9013158,5.554386698,C3S1
5.73,8.31,829.44,510.0,30,3.76,6.844818182,56.0,141.0,2.0,40.0,68.068,379.8848684,3.145323206,C3S1
5.8,8.26,726.4,300.0,70,2.85,64.42181818,103.0,92.0,1.0,40.0,63.206,359.8930921,2.108498207,C3S1
3.59,8.35,775.68,230.0,90,2.11,68.44818182,127.0,59.0,3.0,56.0,82.654,479.8601974,1.171026738,C3S1
5.1,8.33,701.44,200.0,50,4.24,70.46136364,171.0,103.0,1.0,16.0,68.068,319.8848684,2.503874402,C3S1
8.19,7.98,1135.36,280.0,260,1.17,102.6722727,143.0,166.0,2.0,64.0,87.516,519.8519737,3.165486046,C3S1
19.59,8.16,254.72,112.4008831,50,0.19,1.99305,12.0,35.93565348,2.25,40.0,4.862,119.9917763,1.426336413,C2S1
5.08,8.39,407.68,173.5035021,50,0.52,1.10725,10.0,63.72342624,2.5,32.0,24.31,179.9588816,2.065307109,C2S1
23.24,8.45,455.04,106.4767662,100,0.68,7.0864,18.0,71.00984334,3.69,48.0,19.448,199.9671053,2.183290066,C2S1
6.78,8.34,330.88,143.3229446,40,0.76,1.99305,14.0,53.76548932,3.3,40.0,9.724,139.9835526,1.975773977,C2S1
20.49,8.1,989.44,196.3152925,270,0.58,188.2325,35.0,99.51565681,3.55,80.0,87.516,559.8519737,1.82863476,C3S1
22.35,7.79,1068.16,185.2007054,350,1.38,133.7558,38.0,64.66671084,1.9,120.0,97.24,699.8355263,1.062808314,C3S1
14.05,7.84,942.72,232.7465643,280,0.65,93.67335,25.0,119.9665707,2.47,104.0,53.482,479.9095395,2.380963386,C3S1
19.63,8.33,775.04,264.8113081,190,1.25,39.861,14.0,156.5653097,8.8,48.0,34.034,259.9424342,4.222105826,C3S1
18.13,7.98,1187.84,312.0216578,350,1.26,108.0676,25.0,174.6639509,29.5,64.0,87.516,519.8519737,3.330700599,C3S1
15.34,8.0,1263.36,366.622134,350,1.22,107.6247,29.0,263.9425723,2.5,56.0,68.068,419.8848684,5.600367115,C3S1
11.07,8.06,1066.88,186.1912569,330,0.69,188.2325,21.0,119.4802649,1.78,56.0,106.964,579.8190789,2.157357356,C3S1
15.24,7.49,485.12,220.0,70,0.29,21.33972727,40.0,52.0,4.0,32.0,43.758,259.9259868,1.402331395,C3S1
6.66,7.64,433.92,220.0,80,0.74,12.28040909,38.0,84.0,1.0,40.0,24.31,199.9588816,2.582742449,C2S1
3.68,7.72,803.2,170.0,170,0.26,18.52127273,205.0,174.0,1.0,48.0,34.034,259.9424342,4.692268135,C3S1
14.47,7.7,337.92,170.0,60,0.4,43.48472727,42.0,40.0,6.0,48.0,29.172,239.9506579,1.122719286,C2S1
0.78,7.58,440.96,220.0,60,0.39,2.818454545,32.0,36.0,2.0,48.0,34.034,259.9424342,0.970814097,C2S1
26.12,7.79,513.28,337.0102441,30,2.29,14.1728,6.0,92.85292624,2.5,40.0,24.31,199.9588816,2.854942787,C3S1
16.79,7.75,538.24,258.2009705,90,0.9,20.59485,14.0,65.52229149,1.81,64.0,29.172,279.9506579,1.702630839,C3S1
41.7,7.74,697.6,356.7968476,110,1.02,17.49455,13.0,95.48600542,2.31,56.0,48.62,339.9177632,2.251774824,C3S1
16.45,8.05,514.56,188.1867722,130,0.88,19.9305,10.0,56.94063963,1.8,48.0,38.896,279.9342105,1.479675616,C3S1
19.83,7.92,928.0,218.9210881,280,0.93,101.867,21.0,105.2190557,2.85,72.0,77.792,499.8684211,2.046155867,C3S1
18.84,7.4,1324.8,309.1461123,400,1.21,143.9425,34.0,201.693798,5.5,96.0,87.516,599.8519737,3.580491623,C4S2
21.28,7.75,864.0,438.516296,130,1.16,26.574,24.0,100.9264493,1.93,64.0,72.93,459.8766447,2.046239583,C3S1
11.46,7.8,556.8,147.0444787,170,0.98,29.89575,19.0,74.57495511,13.5,72.0,19.448,259.9671053,2.01097173,C3S1
13.47,8.2,531.2,166.4274112,150,1.73,20.15195,16.0,72.73548026,0.85,48.0,34.034,259.9424342,1.961461933,C3S1
19.96,7.43,1811.2,337.6767061,590,1.14,232.5225,42.0,305.9359156,3.3,160.0,87.516,759.8519737,4.82545345,C4S1
